model,label_fraction,seed,covariance_type,reg_covar,accuracy,f1_macro,recall_macro,train_accuracy,train_f1_macro,train_recall_macro,generalization_gap,train_time_s,error,max_constraints
SemiSupervisedGMM,0.1,0,full,1e-06,0.8870292887029289,0.9042808092722255,0.9074738432208976,0.8916666666666667,0.907289374076841,0.9092210275654985,0.004637377963737865,0.28145492100156844,,
SemiSupervisedGMM,0.1,1,full,1e-06,0.8929362539995077,0.9029302209739198,0.9056564251189052,0.8751054852320675,0.8892141379776187,0.891941161936334,-0.017830768767440164,0.365307722997386,,
SemiSupervisedGMM,0.1,2,full,1e-06,0.8966281073098695,0.9143951234740731,0.9181785536669597,0.8906118143459916,0.9063658161964988,0.9093834879669382,-0.006016292963877956,0.29372143399814377,,
SemiSupervisedGMM,0.1,0,full,0.0001,0.8902288949052425,0.9084301393241364,0.9115952462376641,0.8935654008438818,0.9098296145091059,0.9123220965967292,0.0033365059386393225,0.1816562430030899,,
SemiSupervisedGMM,0.1,1,full,0.0001,0.9005660841742554,0.9127462938657201,0.9152408484245816,0.8851265822784811,0.9024387000865827,0.9055233936964348,-0.015439501895774366,0.284393756002828,,
SemiSupervisedGMM,0.1,2,full,0.0001,0.897612601525966,0.9161189197340337,0.9185659725109081,0.8888185654008439,0.9047774631194635,0.9073406142109877,-0.008794036125122084,0.2846721030000481,,
SemiSupervisedGMM,0.1,0,full,0.01,0.9032734432685208,0.9175739124476362,0.9202533876842336,0.9050632911392406,0.9177820632581574,0.920911681032479,0.0017898478707197851,0.3963898920046631,,
SemiSupervisedGMM,0.1,1,full,0.01,0.9121338912133892,0.9234446353343885,0.9247536967169653,0.9059071729957806,0.9202730902974935,0.9217913101381077,-0.006226718217608562,0.2827272550057387,,
SemiSupervisedGMM,0.1,2,full,0.01,0.9121338912133892,0.9260854938563039,0.929001495200987,0.9042194092827004,0.9178976092123566,0.9193891168138527,-0.007914481930688777,0.31729379700118443,,
SemiSupervisedGMM,0.1,0,tied,1e-06,0.8141767167117894,0.8572190068359357,0.855137914650613,0.8193037974683545,0.8609296642444028,0.8588320793773379,0.005127080756565094,0.4012542400014354,,
SemiSupervisedGMM,0.1,1,tied,1e-06,0.8247600295348265,0.8649526920489556,0.862903618604104,0.8171940928270042,0.8608562293077078,0.8589875821129349,-0.007565936707822352,0.4233375769981649,,
SemiSupervisedGMM,0.1,2,tied,1e-06,0.8338666010337189,0.873942845189374,0.8718852077948106,0.8235232067510548,0.8626640009672025,0.8599607491521625,-0.010343394282664065,0.4488674300009734,,
SemiSupervisedGMM,0.1,0,tied,0.0001,0.8060546394289934,0.8500174043622418,0.8471695608109737,0.8119198312236287,0.8556496342129705,0.85251838913614,0.005865191794635294,0.3767004339970299,,
SemiSupervisedGMM,0.1,1,tied,0.0001,0.8166379522520305,0.8583723087957594,0.8560250151582186,0.8093881856540084,0.8545112763844643,0.8516567012645921,-0.007249766598022123,0.37116837599751307,,
SemiSupervisedGMM,0.1,2,tied,0.0001,0.8254984001968988,0.8665304205960761,0.864500046899302,0.8174050632911393,0.8580024497304594,0.8549459897646814,-0.00809333690575953,0.3948374459941988,,
SemiSupervisedGMM,0.1,0,tied,0.01,0.8360817130199361,0.8708829021179908,0.8688403567721193,0.8391350210970464,0.8718493921702197,0.8703036731155219,0.0030533080771103505,0.3172395419969689,,
