model,covariance_type,reg_covar,max_constraints,accuracy_mean,accuracy_std,f1_macro_mean,recall_macro_mean,train_accuracy_mean,gap_mean,train_time_s_mean,errors
ConstrainedKMeans,,,50.0,0.799163179916318,0.001613940074895858,0.7401345677458405,0.7795353987604338,0.7967651195499297,-0.0023980603663883437,0.9452073069987819,0
ConstrainedKMeans,,,200.0,0.7912872261875462,0.004916314141136635,0.7713922366190152,0.793306724984299,0.7864275668073137,-0.00485965938023251,0.9081720503333296,0
ConstrainedKMeans,,,500.0,0.7971121502994504,0.004887479205383995,0.782462406144559,0.8003838057766709,0.7927918424753867,-0.004320307824063563,1.0111571026645834,0
ConstrainedKMeans,,,1000.0,0.7997374682090409,0.0039096734949360815,0.7870072447289261,0.8036017092038877,0.7958860759493671,-0.0038513922596738657,1.0154000363351467,0
SemiSupervisedGMM,diag,1e-06,,0.8780867995733859,0.004186512699047735,0.8848365900696139,0.8887300499117684,0.8739099859353024,-0.004176813638083458,0.18723317999926317,0
SemiSupervisedGMM,diag,0.0001,,0.8782508819427353,0.003815576652468106,0.8849798793827235,0.8888755897783637,0.8739803094233474,-0.00427057251938782,0.18254653366602724,0
SemiSupervisedGMM,diag,0.01,,0.8810402822216753,0.004862627455160365,0.8879170615396209,0.8905546916226328,0.8765471167369902,-0.004493165484685109,0.13833849899917064,0
SemiSupervisedGMM,full,1e-06,,0.8921978833374354,0.004841820224687676,0.9072020512400728,0.9104362740022541,0.8857946554149086,-0.006403227922526751,0.3134946926656994,0
SemiSupervisedGMM,full,0.0001,,0.8961358602018213,0.005324466564800322,0.9124317843079633,0.9151340223910512,0.889170182841069,-0.006965677360752376,0.25024070066865534,0
SemiSupervisedGMM,full,0.01,,0.9091804085650997,0.005115582006110429,0.9223680138794429,0.924669526534062,0.9050632911392406,-0.004117117425859185,0.33213698133719544,0
SemiSupervisedGMM,spherical,1e-06,,0.8622528509311674,0.005105704449094025,0.8781476300030966,0.879517248191001,0.8589310829817158,-0.003321767949451567,0.14432915466507742,0
SemiSupervisedGMM,spherical,0.0001,,0.8622528509311674,0.005105704449094025,0.8781476300030966,0.879517248191001,0.8590365682137834,-0.003216282717384019,0.14410031566755302,0
SemiSupervisedGMM,spherical,0.01,,0.864878168840758,0.004940895865095943,0.8802667936175753,0.8810724839408447,0.8613220815752461,-0.0035560872655119313,0.15228124299756018,0
SemiSupervisedGMM,tied,1e-06,,0.8242677824267783,0.009854167471901359,0.8653715146914217,0.8633089136831759,0.8200070323488045,-0.004260750077973774,0.4244864156668579,0
SemiSupervisedGMM,tied,0.0001,,0.8160636639593076,0.009734593647515676,0.858306711251359,0.8558982076228315,0.8129043600562588,-0.003159303903048786,0.3809020853295806,0
SemiSupervisedGMM,tied,0.01,,0.8422348018705391,0.00615308885060302,0.874862269882266,0.8732461390587852,0.8412798874824191,-0.0009549143881199355,0.30944156866462436,0
